cluster,name,mom_weight,ic_weight,weeks,ann_return,ann_vol,sharpe,max_dd
0,工业金属/能源牛市,0.0,1.0,258,0.2556669898266346,0.2126007077936526,1.202568855390555,-0.31818753235151653
1,大宗全面牛市,0.0,1.0,342,0.3699510073697476,0.21857697932191686,1.692543325090468,-0.16253017716887463
2,停滞横盘期,0.0,1.0,213,0.3622639175853164,0.2520476722480487,1.4372833295948877,-0.33676941352406997
3,温和复苏期,0.0,1.0,421,0.19220105519215958,0.22753134182628634,0.8447234286470282,-0.21236527311417586
4,加息紧缩期,0.0,1.0,172,0.2920182637960318,0.2032320105484181,1.4368714013507295,-0.1910626341814099
5,衰退/通缩/避险,0.0,1.0,168,0.1947086083760572,0.2616487912197761,0.7441601677896099,-0.2983308953332944
0,工业金属/能源牛市,0.05,0.95,258,0.24559008992499365,0.2131876557399375,1.151990198834885,-0.320168379751806
1,大宗全面牛市,0.05,0.95,342,0.36846461802777486,0.21774296060334514,1.6921999085839297,-0.1598450490828318
2,停滞横盘期,0.05,0.95,213,0.3508698659426075,0.24696250347022103,1.4207414526995825,-0.331808562023577
3,温和复苏期,0.05,0.95,421,0.1861153353970928,0.22578242263585827,0.8243127752121762,-0.21208885506645425
4,加息紧缩期,0.05,0.95,172,0.276038460327348,0.19964262710235817,1.3826629329307571,-0.1961872251677158
5,衰退/通缩/避险,0.05,0.95,168,0.18404297887505394,0.2560588405266203,0.7187526839399264,-0.3004696371685486
0,工业金属/能源牛市,0.1,0.9,258,0.23477099000215262,0.21393390101137344,1.0973996589239563,-0.32209226687053016
1,大宗全面牛市,0.1,0.9,342,0.36660981056328223,0.21708236323428912,1.6888051387556233,-0.16372558116320735
2,停滞横盘期,0.1,0.9,213,0.3387348589120769,0.24181911171982962,1.4007778645078035,-0.32645527629135895
3,温和复苏期,0.1,0.9,421,0.17951010744981755,0.2240215966680138,0.8013071512736357,-0.21346570771354811
