regime,factor,ic_mean,ic_std,ic_ir,ic_win_rate,n_weeks
0,vix_chg,0.0,0.0,0.061,0.286,28
0,gold_oi_chg,-0.0,0.0,-0.098,0.31,84
0,silver_oi_chg,0.0,0.0,0.063,0.373,67
0,gold_cot_z,0.0,0.0,0.157,0.298,57
0,copper_cot_z,0.0,0.0,0.463,0.429,56
0,oil_cot_z,0.0,0.0,0.042,0.352,54
1,real_rate_chg,0.0,0.0,0.35,0.5,10
1,vix_chg,-0.0,0.0,-0.051,0.333,15
1,gold_oi_chg,0.0,0.0,0.073,0.328,64
1,silver_oi_chg,-0.0,0.0,-0.006,0.226,53
1,gold_cot_z,-0.0,0.0,-0.1,0.225,40
1,copper_cot_z,-0.0,0.0,-0.112,0.208,48
1,oil_cot_z,0.0,0.0,0.233,0.389,36
