regime,factor,ic_mean,ic_std,ic_ir,ic_win_rate,n_weeks
Overheat,gold_oi_chg,-0.0,0.0,-0.016,0.242,33
Overheat,silver_oi_chg,-0.0,0.0,-0.177,0.341,41
Overheat,gold_cot_z,0.0,0.0,0.047,0.273,33
Overheat,copper_cot_z,0.0,0.0,0.333,0.375,24
Overheat,oil_cot_z,0.0,0.0,0.044,0.385,26
Recession,vix_chg,-0.0,0.0,-0.22,0.2,15
Recession,gold_oi_chg,0.0,0.0,0.008,0.346,52
Recession,silver_oi_chg,0.0,0.0,0.358,0.387,31
Recession,gold_cot_z,0.0,0.0,0.269,0.379,29
Recession,copper_cot_z,0.0,0.0,0.086,0.308,39
Recession,oil_cot_z,-0.0,0.0,-0.141,0.292,24
Recovery,gold_oi_chg,-0.0,0.0,-0.125,0.3,30
Recovery,silver_oi_chg,0.0,0.0,0.084,0.12,25
Recovery,gold_cot_z,-0.0,0.0,-0.343,0.111,18
Recovery,copper_cot_z,0.0,0.0,0.288,0.333,15
Recovery,oil_cot_z,0.0,0.0,0.863,0.529,17
Stagflation,vix_chg,0.0,0.0,0.161,0.357,14
Stagflation,gold_oi_chg,0.0,0.0,0.043,0.364,33
Stagflation,silver_oi_chg,-0.0,0.0,-0.013,0.364,22
Stagflation,gold_cot_z,0.0,0.0,0.07,0.235,17
Stagflation,copper_cot_z,0.0,0.0,0.136,0.28,25
Stagflation,oil_cot_z,0.0,0.0,0.137,0.3,20
