,PC1,PC2,PC3
pmi_level,0.3704450089728379,0.02594923230568114,-0.3297058349607733
pmi_delta,0.40852563272313325,-0.004067741401336908,0.05774071389498078
ppi_level,0.3701711172190018,0.026307424031568032,-0.32944558076585123
ppi_delta,0.4083898518410196,-0.0029819320759649185,0.05817316182012741
vix_level,-0.12488108732241725,0.07535447465630009,-0.19271174323153462
dxy_level,-0.17128284428708837,0.15805142557030769,-0.11335393831599518
real_rate_level,0.07507767747518602,0.4852281825546049,-0.10855694550029979
cn_pmi_level,0.09055423785223522,-0.19440749969041785,0.35145567949532613
cn_pmi_delta,0.036975422994206114,-0.174900618852953,0.3712610700376434
cn_ppi_level,0.32802739327748914,-0.27366033514279753,-0.15478357840054968
cn_ppi_delta,0.28211992282387977,-0.210301909223717,0.1313991845008921
commodity_mom,0.07836535639477318,-0.010111312401411044,0.38188642134569795
us10y_level,0.23722517878056718,0.4322103126774338,-0.03813906760872573
us10y_delta,0.16980714019674747,0.4064405463111737,0.29120820948573756
yield_spread_level,0.15273033248348464,0.12029404728148066,0.2600120895008541
yield_spread_delta,0.05981672686338407,0.2745678268650481,0.3345685093312731
credit_impulse_level,-0.13461737160868922,0.18171715093989946,0.00627069524603599
credit_impulse_delta,-0.09197790144969151,0.26461598920651735,-0.003834094050334318
