regime,asset,weeks,pct_of_total,ann_return,ann_vol,sharpe,max_drawdown,win_rate,method
0,黄金,666,0.422,0.081,0.161,0.503,-0.3107,0.563,gmm
0,白银,666,0.422,0.1124,0.3052,0.368,-0.5785,0.535,gmm
0,铜,666,0.422,0.0508,0.3125,0.163,-0.3917,0.495,gmm
0,原油,666,0.422,0.3211,0.2829,1.135,-0.2448,0.549,gmm
0,煤炭,666,0.422,0.037,0.2901,0.127,-0.386,0.457,gmm
1,黄金,12,0.008,-0.1144,0.0434,-2.635,-0.0226,0.417,gmm
1,白银,12,0.008,-0.2565,0.1515,-1.693,-0.0605,0.417,gmm
2,黄金,149,0.094,0.0727,0.2541,0.286,-0.3187,0.523,gmm
2,白银,149,0.094,-0.338,0.4019,-0.841,-0.777,0.477,gmm
2,铜,149,0.094,-0.5119,0.3265,-1.568,-0.487,0.42,gmm
2,原油,149,0.094,-0.5369,0.4561,-1.177,-0.6052,0.4,gmm
2,煤炭,149,0.094,-0.3413,0.3647,-0.936,-0.3046,0.431,gmm
3,黄金,15,0.01,-0.17,0.1251,-1.359,-0.0717,0.467,gmm
3,白银,15,0.01,0.2979,0.193,1.544,-0.0456,0.667,gmm
4,黄金,400,0.254,0.1025,0.1531,0.669,-0.3618,0.556,gmm
4,白银,400,0.254,0.1499,0.2679,0.56,-0.5869,0.516,gmm
4,铜,400,0.254,0.5124,0.2666,1.922,-0.2419,0.578,gmm
4,原油,400,0.254,0.0722,0.234,0.309,-0.2557,0.568,gmm
4,煤炭,400,0.254,0.4175,0.292,1.43,-0.2638,0.521,gmm
5,黄金,22,0.014,-0.19,0.0814,-2.334,-0.0902,0.227,gmm
5,白银,22,0.014,-0.3381,0.1897,-1.782,-0.1758,0.409,gmm
6,黄金,313,0.198,0.1184,0.1522,0.778,-0.1781,0.505,gmm
6,白银,313,0.198,0.2882,0.2974,0.969,-0.3458,0.537,gmm
6,铜,313,0.198,0.0828,0.2753,0.301,-0.402,0.529,gmm
6,原油,313,0.198,0.0146,0.4131,0.035,-0.4107,0.54,gmm
6,煤炭,313,0.198,-0.022,0.3044,-0.072,-0.4615,0.527,gmm
