regime,asset,weeks,pct_of_total,ann_return,ann_vol,sharpe,max_drawdown,win_rate,method
0,黄金,849,0.538,0.1232,0.1625,0.758,-0.2126,0.569,kmeans
0,白银,849,0.538,0.1784,0.3064,0.582,-0.408,0.554,kmeans
0,铜,849,0.538,0.1392,0.31,0.449,-0.4259,0.516,kmeans
0,原油,849,0.538,0.2386,0.2834,0.842,-0.428,0.559,kmeans
0,煤炭,849,0.538,0.1272,0.2784,0.457,-0.4745,0.489,kmeans
1,黄金,728,0.462,0.0404,0.172,0.235,-0.4267,0.505,kmeans
1,白银,728,0.462,-0.005,0.2991,-0.017,-0.67,0.488,kmeans
1,铜,728,0.462,0.013,0.2807,0.046,-0.3857,0.52,kmeans
1,原油,728,0.462,-0.1235,0.3645,-0.339,-0.6601,0.509,kmeans
1,煤炭,728,0.462,0.0176,0.3284,0.054,-0.5534,0.493,kmeans
