regime,asset,weeks,pct_of_total,ann_return,ann_vol,sharpe,max_drawdown,win_rate,method
0,黄金,308,0.195,0.06,0.1683,0.356,-0.2615,0.552,pca_kmeans
0,白银,308,0.195,0.0905,0.3286,0.275,-0.4199,0.552,pca_kmeans
0,铜,308,0.195,0.2112,0.3529,0.598,-0.2542,0.542,pca_kmeans
0,原油,308,0.195,0.6504,0.3173,2.05,-0.1298,0.61,pca_kmeans
0,煤炭,308,0.195,0.1265,0.2673,0.473,-0.2688,0.512,pca_kmeans
1,黄金,161,0.102,-0.104,0.1797,-0.579,-0.3617,0.46,pca_kmeans
1,白银,161,0.102,-0.2041,0.3136,-0.651,-0.697,0.484,pca_kmeans
1,铜,161,0.102,-0.2186,0.3002,-0.728,-0.4943,0.491,pca_kmeans
1,原油,161,0.102,-0.1268,0.3647,-0.348,-0.5517,0.521,pca_kmeans
1,煤炭,161,0.102,-0.1394,0.3402,-0.41,-0.4663,0.438,pca_kmeans
2,黄金,406,0.257,0.0921,0.1567,0.587,-0.2255,0.553,pca_kmeans
2,白银,406,0.257,0.0356,0.2771,0.128,-0.5132,0.526,pca_kmeans
2,铜,406,0.257,0.0501,0.2876,0.174,-0.2769,0.551,pca_kmeans
2,原油,406,0.257,-0.0544,0.2441,-0.223,-0.3206,0.489,pca_kmeans
2,煤炭,406,0.257,0.2331,0.2941,0.793,-0.2189,0.48,pca_kmeans
3,黄金,187,0.119,0.3915,0.1719,2.278,-0.114,0.615,pca_kmeans
3,白银,187,0.119,0.7591,0.3594,2.112,-0.187,0.583,pca_kmeans
3,铜,187,0.119,0.7587,0.303,2.504,-0.202,0.562,pca_kmeans
3,原油,187,0.119,0.1403,0.2358,0.595,-0.2117,0.547,pca_kmeans
3,煤炭,187,0.119,0.2972,0.22,1.351,-0.2208,0.547,pca_kmeans
4,黄金,226,0.143,-0.0232,0.1674,-0.138,-0.4491,0.5,pca_kmeans
4,白银,226,0.143,-0.0833,0.2686,-0.31,-0.5882,0.482,pca_kmeans
4,铜,226,0.143,-0.2146,0.1962,-1.094,-0.2897,0.397,pca_kmeans
4,原油,226,0.143,-0.0162,0.2358,-0.069,-0.2504,0.517,pca_kmeans
4,煤炭,226,0.143,-0.1627,0.3671,-0.443,-0.5021,0.42,pca_kmeans
5,黄金,289,0.183,0.1288,0.1647,0.782,-0.222,0.533,pca_kmeans
5,白银,289,0.183,0.1713,0.2818,0.608,-0.3458,0.505,pca_kmeans
5,铜,289,0.183,0.3946,0.2889,1.366,-0.1624,0.554,pca_kmeans
5,原油,289,0.183,0.0671,0.4363,0.154,-0.4107,0.554,pca_kmeans
5,煤炭,289,0.183,0.2705,0.2885,0.937,-0.2258,0.567,pca_kmeans
