regime,asset,weeks,pct_of_total,ann_return,ann_vol,sharpe,max_drawdown,win_rate,method
Overheat,黄金,822,0.521,0.0838,0.1625,0.515,-0.3153,0.546,quadrant
Overheat,白银,822,0.521,0.0857,0.313,0.274,-0.5119,0.538,quadrant
Overheat,铜,822,0.521,0.2665,0.3134,0.85,-0.2483,0.532,quadrant
Overheat,原油,822,0.521,0.1297,0.2773,0.468,-0.4081,0.559,quadrant
Overheat,煤炭,822,0.521,-0.0122,0.3122,-0.039,-0.72,0.491,quadrant
Recession,黄金,747,0.474,0.0849,0.1723,0.493,-0.459,0.534,quadrant
Recession,白银,747,0.474,0.0856,0.2933,0.292,-0.6698,0.505,quadrant
Recession,铜,747,0.474,-0.1001,0.2757,-0.363,-0.6034,0.5,quadrant
Recession,原油,747,0.474,-0.0061,0.3666,-0.017,-0.6431,0.513,quadrant
Recession,煤炭,747,0.474,0.1987,0.2894,0.687,-0.4021,0.49,quadrant
Stagflation,黄金,8,0.005,0.0666,0.1194,0.558,-0.0443,0.375,quadrant
Stagflation,白银,8,0.005,1.3862,0.1743,7.952,-0.0118,0.75,quadrant
