date,regime_gmm
1996-03-15,4
1996-03-22,4
1996-03-29,4
1996-04-05,4
1996-04-12,4
1996-04-19,4
1996-04-26,4
1996-05-03,4
1996-05-10,4
1996-05-17,4
1996-05-24,4
1996-05-31,4
1996-06-07,4
1996-06-14,4
1996-06-21,4
1996-06-28,4
1996-07-05,4
1996-07-12,4
1996-07-19,4
1996-07-26,4
1996-08-02,4
1996-08-09,4
1996-08-16,4
1996-08-23,4
1996-08-30,4
1996-09-06,1
1996-09-13,1
1996-09-20,1
1996-09-27,1
1996-10-04,1
1996-10-11,1
1996-10-18,1
1996-10-25,1
1996-11-01,1
1996-11-08,1
1996-11-15,1
1996-11-22,1
1996-11-29,5
1996-12-06,3
1996-12-13,5
1996-12-20,3
1996-12-27,3
1997-01-03,3
1997-01-10,3
1997-01-17,3
1997-01-24,3
1997-01-31,3
1997-02-07,3
1997-02-14,3
1997-02-21,3
1997-02-28,3
1997-03-07,3
1997-03-14,3
1997-03-21,3
1997-03-28,5
1997-04-04,5
1997-04-11,5
1997-04-18,5
1997-04-25,5
1997-05-02,5
1997-05-09,5
1997-05-16,5
1997-05-23,5
1997-05-30,5
1997-06-06,5
1997-06-13,5
1997-06-20,5
1997-06-27,5
1997-07-04,5
1997-07-11,5
1997-07-18,5
1997-07-25,5
1997-08-01,5
1997-08-08,5
1997-08-15,6
1997-08-22,6
1997-08-29,6
1997-09-05,6
1997-09-12,6
1997-09-19,6
1997-09-26,6
1997-10-03,6
1997-10-10,4
1997-10-17,6
1997-10-24,6
1997-10-31,2
1997-11-07,2
1997-11-14,2
1997-11-21,6
1997-11-28,2
1997-12-05,4
1997-12-12,2
1997-12-19,2
1997-12-26,2
1998-01-02,4
1998-01-09,6
1998-01-16,4
1998-01-23,4
1998-01-30,4
1998-02-06,6
1998-02-13,6
1998-02-20,6
1998-02-27,6
1998-03-06,6
1998-03-13,6
1998-03-20,6
1998-03-27,6
1998-04-03,6
1998-04-10,6
1998-04-17,6
1998-04-24,6
1998-05-01,6
1998-05-08,6
1998-05-15,6
1998-05-22,6
1998-05-29,6
1998-06-05,6
1998-06-12,6
1998-06-19,6
1998-06-26,6
1998-07-03,6
1998-07-10,6
1998-07-17,6
1998-07-24,6
1998-07-31,6
1998-08-07,6
1998-08-14,6
1998-08-21,6
1998-08-28,6
1998-09-04,6
1998-09-11,6
1998-09-18,6
1998-09-25,6
1998-10-02,6
1998-10-09,6
1998-10-16,6
1998-10-23,6
1998-10-30,6
1998-11-06,6
1998-11-13,6
1998-11-20,6
1998-11-27,6
1998-12-04,6
1998-12-11,6
1998-12-18,6
1998-12-25,6
1999-01-01,6
1999-01-08,6
1999-01-15,6
1999-01-22,6
1999-01-29,6
1999-02-05,6
1999-02-12,6
1999-02-19,6
1999-02-26,6
1999-03-05,6
1999-03-12,6
1999-03-19,6
1999-03-26,6
1999-04-02,4
1999-04-09,4
1999-04-16,4
1999-04-23,4
1999-04-30,4
1999-05-07,4
1999-05-14,4
1999-05-21,4
1999-05-28,4
1999-06-04,4
1999-06-11,4
1999-06-18,4
1999-06-25,4
1999-07-02,0
1999-07-09,0
1999-07-16,0
1999-07-23,0
1999-07-30,0
1999-08-06,0
1999-08-13,0
1999-08-20,0
1999-08-27,0
1999-09-03,0
1999-09-10,0
1999-09-17,0
1999-09-24,0
1999-10-01,0
1999-10-08,0
1999-10-15,0
1999-10-22,0
1999-10-29,0
1999-11-05,0
1999-11-12,0
1999-11-19,0
1999-11-26,0
1999-12-03,0
1999-12-10,0
1999-12-17,0
1999-12-24,0
1999-12-31,0
2000-01-07,0
2000-01-14,0
2000-01-21,0
2000-01-28,0
2000-02-04,0
2000-02-11,0
2000-02-18,0
2000-02-25,0
2000-03-03,0
2000-03-10,0
2000-03-17,0
2000-03-24,0
2000-03-31,0
2000-04-07,0
2000-04-14,2
2000-04-21,0
2000-04-28,0
2000-05-05,0
2000-05-12,0
2000-05-19,0
2000-05-26,2
2000-06-02,0
2000-06-09,0
2000-06-16,0
2000-06-23,4
2000-06-30,0
2000-07-07,0
2000-07-14,0
2000-07-21,0
2000-07-28,0
2000-08-04,0
2000-08-11,0
2000-08-18,0
2000-08-25,0
2000-09-01,0
2000-09-08,0
2000-09-15,0
2000-09-22,2
2000-09-29,4
2000-10-06,0
2000-10-13,2
2000-10-20,0
2000-10-27,2
2000-11-03,0
2000-11-10,0
2000-11-17,0
2000-11-24,0
2000-12-01,0
2000-12-08,0
2000-12-15,0
2000-12-22,0
2000-12-29,0
2001-01-05,0
2001-01-12,0
2001-01-19,0
2001-01-26,0
2001-02-02,0
2001-02-09,0
2001-02-16,0
2001-02-23,0
2001-03-02,0
2001-03-09,0
2001-03-16,0
2001-03-23,0
2001-03-30,0
2001-04-06,2
2001-04-13,2
2001-04-20,0
2001-04-27,2
2001-05-04,0
2001-05-11,0
2001-05-18,4
2001-05-25,4
2001-06-01,4
2001-06-08,4
2001-06-15,4
2001-06-22,4
2001-06-29,4
2001-07-06,4
2001-07-13,4
2001-07-20,4
2001-07-27,4
2001-08-03,4
2001-08-10,4
2001-08-17,6
2001-08-24,4
2001-08-31,6
2001-09-07,6
2001-09-14,6
2001-09-21,2
2001-09-28,6
2001-10-05,6
2001-10-12,6
2001-10-19,6
2001-10-26,6
2001-11-02,6
2001-11-09,6
2001-11-16,6
2001-11-23,6
2001-11-30,6
2001-12-07,6
2001-12-14,6
2001-12-21,6
2001-12-28,6
2002-01-04,6
2002-01-11,6
2002-01-18,6
2002-01-25,6
2002-02-01,6
2002-02-08,6
2002-02-15,6
2002-02-22,6
2002-03-01,6
2002-03-08,6
2002-03-15,6
2002-03-22,6
2002-03-29,4
2002-04-05,4
2002-04-12,4
2002-04-19,4
2002-04-26,4
2002-05-03,4
2002-05-10,4
2002-05-17,4
2002-05-24,4
2002-05-31,6
2002-06-07,6
2002-06-14,6
2002-06-21,6
2002-06-28,6
2002-07-05,6
2002-07-12,6
2002-07-19,2
2002-07-26,2
2002-08-02,2
2002-08-09,2
2002-08-16,2
2002-08-23,2
2002-08-30,2
2002-09-06,2
2002-09-13,2
2002-09-20,2
2002-09-27,2
2002-10-04,0
2002-10-11,0
2002-10-18,0
2002-10-25,0
2002-11-01,0
2002-11-08,0
2002-11-15,0
2002-11-22,0
2002-11-29,0
2002-12-06,0
2002-12-13,0
2002-12-20,0
2002-12-27,0
2003-01-03,0
2003-01-10,0
2003-01-17,0
2003-01-24,0
2003-01-31,0
2003-02-07,0
2003-02-14,0
2003-02-21,0
2003-02-28,0
2003-03-07,0
2003-03-14,0
2003-03-21,0
2003-03-28,0
2003-04-04,0
2003-04-11,0
2003-04-18,0
2003-04-25,0
2003-05-02,4
2003-05-09,4
2003-05-16,0
2003-05-23,0
2003-05-30,0
2003-06-06,0
2003-06-13,0
2003-06-20,0
2003-06-27,0
2003-07-04,0
2003-07-11,0
2003-07-18,0
2003-07-25,4
2003-08-01,4
2003-08-08,4
2003-08-15,4
2003-08-22,4
2003-08-29,4
2003-09-05,4
2003-09-12,4
2003-09-19,4
2003-09-26,4
2003-10-03,4
2003-10-10,4
2003-10-17,4
2003-10-24,4
2003-10-31,4
2003-11-07,4
2003-11-14,4
2003-11-21,4
2003-11-28,4
2003-12-05,4
2003-12-12,4
2003-12-19,4
2003-12-26,4
2004-01-02,0
2004-01-09,0
2004-01-16,0
2004-01-23,0
2004-01-30,0
2004-02-06,0
2004-02-13,0
2004-02-20,0
2004-02-27,0
2004-03-05,0
2004-03-12,0
2004-03-19,0
2004-03-26,0
2004-04-02,0
2004-04-09,0
2004-04-16,0
2004-04-23,0
2004-04-30,0
2004-05-07,0
2004-05-14,0
2004-05-21,0
2004-05-28,0
2004-06-04,0
2004-06-11,0
2004-06-18,0
2004-06-25,0
2004-07-02,0
2004-07-09,0
2004-07-16,0
2004-07-23,0
2004-07-30,0
2004-08-06,0
2004-08-13,0
2004-08-20,0
2004-08-27,0
2004-09-03,0
2004-09-10,0
2004-09-17,0
2004-09-24,0
2004-10-01,0
2004-10-08,0
2004-10-15,0
2004-10-22,0
2004-10-29,0
2004-11-05,0
2004-11-12,0
2004-11-19,0
2004-11-26,0
2004-12-03,0
2004-12-10,0
2004-12-17,0
2004-12-24,0
2004-12-31,0
2005-01-07,4
2005-01-14,4
2005-01-21,4
2005-01-28,0
2005-02-04,0
2005-02-11,0
2005-02-18,0
2005-02-25,4
2005-03-04,4
2005-03-11,4
2005-03-18,4
2005-03-25,0
2005-04-01,0
2005-04-08,0
2005-04-15,0
2005-04-22,0
2005-04-29,0
2005-05-06,0
2005-05-13,0
2005-05-20,0
2005-05-27,0
2005-06-03,0
2005-06-10,0
2005-06-17,0
2005-06-24,0
2005-07-01,0
2005-07-08,0
2005-07-15,0
2005-07-22,0
2005-07-29,0
2005-08-05,0
2005-08-12,0
2005-08-19,0
2005-08-26,0
2005-09-02,0
2005-09-09,0
2005-09-16,0
2005-09-23,0
2005-09-30,0
2005-10-07,0
2005-10-14,0
2005-10-21,0
2005-10-28,0
2005-11-04,0
2005-11-11,0
2005-11-18,0
2005-11-25,0
2005-12-02,0
2005-12-09,0
2005-12-16,0
2005-12-23,0
2005-12-30,0
2006-01-06,0
2006-01-13,0
2006-01-20,0
2006-01-27,0
2006-02-03,0
2006-02-10,0
2006-02-17,0
2006-02-24,0
2006-03-03,0
2006-03-10,0
2006-03-17,0
2006-03-24,4
2006-03-31,4
2006-04-07,4
2006-04-14,4
2006-04-21,4
2006-04-28,4
2006-05-05,4
2006-05-12,2
2006-05-19,2
2006-05-26,2
2006-06-02,2
2006-06-09,2
2006-06-16,2
2006-06-23,2
2006-06-30,2
2006-07-07,2
2006-07-14,2
2006-07-21,2
2006-07-28,2
2006-08-04,0
2006-08-11,0
2006-08-18,4
2006-08-25,4
2006-09-01,0
2006-09-08,0
2006-09-15,0
2006-09-22,0
2006-09-29,0
2006-10-06,4
2006-10-13,4
2006-10-20,4
2006-10-27,4
2006-11-03,4
2006-11-10,4
2006-11-17,4
2006-11-24,4
2006-12-01,4
2006-12-08,4
2006-12-15,4
2006-12-22,4
2006-12-29,4
2007-01-05,0
2007-01-12,0
2007-01-19,0
2007-01-26,4
2007-02-02,4
2007-02-09,4
2007-02-16,4
2007-02-23,4
2007-03-02,0
2007-03-09,0
2007-03-16,0
2007-03-23,0
2007-03-30,0
2007-04-06,0
2007-04-13,0
2007-04-20,0
2007-04-27,0
2007-05-04,0
2007-05-11,0
2007-05-18,0
2007-05-25,0
2007-06-01,0
2007-06-08,0
2007-06-15,0
2007-06-22,0
2007-06-29,0
2007-07-06,0
2007-07-13,0
2007-07-20,0
2007-07-27,2
2007-08-03,2
2007-08-10,2
2007-08-17,2
2007-08-24,0
2007-08-31,2
2007-09-07,2
2007-09-14,2
2007-09-21,0
2007-09-28,0
2007-10-05,0
2007-10-12,0
2007-10-19,0
2007-10-26,0
2007-11-02,0
2007-11-09,2
2007-11-16,0
2007-11-23,0
2007-11-30,0
2007-12-07,0
2007-12-14,0
2007-12-21,0
2007-12-28,0
2008-01-04,0
2008-01-11,0
2008-01-18,0
2008-01-25,0
2008-02-01,0
2008-02-08,0
2008-02-15,0
2008-02-22,0
2008-02-29,0
2008-03-07,0
2008-03-14,0
2008-03-21,0
2008-03-28,0
2008-04-04,0
2008-04-11,0
2008-04-18,0
2008-04-25,0
2008-05-02,0
2008-05-09,0
2008-05-16,0
2008-05-23,0
2008-05-30,0
2008-06-06,0
2008-06-13,0
2008-06-20,0
2008-06-27,0
2008-07-04,0
2008-07-11,0
2008-07-18,0
2008-07-25,0
2008-08-01,0
2008-08-08,0
2008-08-15,0
2008-08-22,0
2008-08-29,0
2008-09-05,0
2008-09-12,0
2008-09-19,2
2008-09-26,2
2008-10-03,2
2008-10-10,2
2008-10-17,2
2008-10-24,2
2008-10-31,2
2008-11-07,2
2008-11-14,2
2008-11-21,2
2008-11-28,2
2008-12-05,2
2008-12-12,2
2008-12-19,6
2008-12-26,6
2009-01-02,6
2009-01-09,6
2009-01-16,6
2009-01-23,6
2009-01-30,6
2009-02-06,6
2009-02-13,6
2009-02-20,6
2009-02-27,6
2009-03-06,6
2009-03-13,6
2009-03-20,6
2009-03-27,6
2009-04-03,6
2009-04-10,6
2009-04-17,6
2009-04-24,6
2009-05-01,6
2009-05-08,6
2009-05-15,6
2009-05-22,6
2009-05-29,6
2009-06-05,6
2009-06-12,6
2009-06-19,6
2009-06-26,6
2009-07-03,4
2009-07-10,4
2009-07-17,4
2009-07-24,4
2009-07-31,4
2009-08-07,4
2009-08-14,4
2009-08-21,4
2009-08-28,4
2009-09-04,4
2009-09-11,4
2009-09-18,4
2009-09-25,4
2009-10-02,4
2009-10-09,4
2009-10-16,4
2009-10-23,4
2009-10-30,4
2009-11-06,4
2009-11-13,4
2009-11-20,4
2009-11-27,4
2009-12-04,0
2009-12-11,0
2009-12-18,0
2009-12-25,0
2010-01-01,0
2010-01-08,0
2010-01-15,0
2010-01-22,0
2010-01-29,0
2010-02-05,0
2010-02-12,0
2010-02-19,0
2010-02-26,0
2010-03-05,0
2010-03-12,0
2010-03-19,0
2010-03-26,0
2010-04-02,0
2010-04-09,0
2010-04-16,0
2010-04-23,0
2010-04-30,0
2010-05-07,2
2010-05-14,2
2010-05-21,2
2010-05-28,2
2010-06-04,2
2010-06-11,0
2010-06-18,0
2010-06-25,2
2010-07-02,2
2010-07-09,0
2010-07-16,0
2010-07-23,0
2010-07-30,0
2010-08-06,0
2010-08-13,0
2010-08-20,0
2010-08-27,0
2010-09-03,0
2010-09-10,0
2010-09-17,0
2010-09-24,0
2010-10-01,0
2010-10-08,0
2010-10-15,0
2010-10-22,0
2010-10-29,0
2010-11-05,0
2010-11-12,0
2010-11-19,0
2010-11-26,0
2010-12-03,0
2010-12-10,0
2010-12-17,0
2010-12-24,0
2010-12-31,0
2011-01-07,0
2011-01-14,0
2011-01-21,0
2011-01-28,0
2011-02-04,0
2011-02-11,0
2011-02-18,0
2011-02-25,0
2011-03-04,0
2011-03-11,0
2011-03-18,0
2011-03-25,0
2011-04-01,0
2011-04-08,0
2011-04-15,0
2011-04-22,0
2011-04-29,0
2011-05-06,0
2011-05-13,0
2011-05-20,0
2011-05-27,0
2011-06-03,0
2011-06-10,0
2011-06-17,0
2011-06-24,0
2011-07-01,0
2011-07-08,0
2011-07-15,0
2011-07-22,0
2011-07-29,2
2011-08-05,2
2011-08-12,2
2011-08-19,2
2011-08-26,2
2011-09-02,2
2011-09-09,2
2011-09-16,2
2011-09-23,2
2011-09-30,2
2011-10-07,2
2011-10-14,0
