date,regime_kmeans
1996-03-15,1
1996-03-22,1
1996-03-29,1
1996-04-05,1
1996-04-12,1
1996-04-19,1
1996-04-26,1
1996-05-03,1
1996-05-10,1
1996-05-17,1
1996-05-24,1
1996-05-31,1
1996-06-07,1
1996-06-14,1
1996-06-21,1
1996-06-28,1
1996-07-05,1
1996-07-12,1
1996-07-19,1
1996-07-26,1
1996-08-02,1
1996-08-09,1
1996-08-16,1
1996-08-23,1
1996-08-30,1
1996-09-06,0
1996-09-13,0
1996-09-20,0
1996-09-27,0
1996-10-04,0
1996-10-11,0
1996-10-18,0
1996-10-25,0
1996-11-01,0
1996-11-08,0
1996-11-15,0
1996-11-22,0
1996-11-29,1
1996-12-06,1
1996-12-13,1
1996-12-20,1
1996-12-27,1
1997-01-03,0
1997-01-10,0
1997-01-17,1
1997-01-24,1
1997-01-31,0
1997-02-07,0
1997-02-14,0
1997-02-21,0
1997-02-28,1
1997-03-07,1
1997-03-14,1
1997-03-21,1
1997-03-28,1
1997-04-04,1
1997-04-11,1
1997-04-18,1
1997-04-25,1
1997-05-02,1
1997-05-09,1
1997-05-16,1
1997-05-23,1
1997-05-30,1
1997-06-06,1
1997-06-13,1
1997-06-20,1
1997-06-27,1
1997-07-04,1
1997-07-11,1
1997-07-18,1
1997-07-25,1
1997-08-01,1
1997-08-08,1
1997-08-15,1
1997-08-22,1
1997-08-29,1
1997-09-05,1
1997-09-12,1
1997-09-19,1
1997-09-26,1
1997-10-03,1
1997-10-10,1
1997-10-17,1
1997-10-24,1
1997-10-31,1
1997-11-07,1
1997-11-14,1
1997-11-21,1
1997-11-28,1
1997-12-05,0
1997-12-12,1
1997-12-19,1
1997-12-26,1
1998-01-02,1
1998-01-09,1
1998-01-16,1
1998-01-23,1
1998-01-30,1
1998-02-06,1
1998-02-13,1
1998-02-20,1
1998-02-27,1
1998-03-06,1
1998-03-13,1
1998-03-20,1
1998-03-27,1
1998-04-03,1
1998-04-10,1
1998-04-17,1
1998-04-24,1
1998-05-01,1
1998-05-08,1
1998-05-15,1
1998-05-22,1
1998-05-29,1
1998-06-05,1
1998-06-12,1
1998-06-19,1
1998-06-26,1
1998-07-03,1
1998-07-10,1
1998-07-17,1
1998-07-24,1
1998-07-31,1
1998-08-07,1
1998-08-14,1
1998-08-21,1
1998-08-28,1
1998-09-04,1
1998-09-11,1
1998-09-18,1
1998-09-25,1
1998-10-02,1
1998-10-09,1
1998-10-16,1
1998-10-23,1
1998-10-30,1
1998-11-06,1
1998-11-13,1
1998-11-20,1
1998-11-27,1
1998-12-04,1
1998-12-11,1
1998-12-18,1
1998-12-25,0
1999-01-01,1
1999-01-08,1
1999-01-15,1
1999-01-22,1
1999-01-29,1
1999-02-05,1
1999-02-12,1
1999-02-19,1
1999-02-26,1
1999-03-05,1
1999-03-12,1
1999-03-19,1
1999-03-26,1
1999-04-02,1
1999-04-09,1
1999-04-16,1
1999-04-23,1
1999-04-30,0
