date,regime_quadrant
1996-03-15,Recession
1996-03-22,Recession
1996-03-29,Recession
1996-04-05,Recession
1996-04-12,Recession
1996-04-19,Recession
1996-04-26,Recession
1996-05-03,Recession
1996-05-10,Recession
1996-05-17,Recession
1996-05-24,Recession
1996-05-31,Recession
1996-06-07,Recession
1996-06-14,Recession
1996-06-21,Recession
1996-06-28,Recession
1996-07-05,Recession
1996-07-12,Recession
1996-07-19,Recession
1996-07-26,Recession
1996-08-02,Recession
1996-08-09,Recession
1996-08-16,Recession
1996-08-23,Recession
1996-08-30,Recession
1996-09-06,Recession
1996-09-13,Recession
1996-09-20,Recession
1996-09-27,Recession
1996-10-04,Recession
1996-10-11,Recession
1996-10-18,Recession
1996-10-25,Recession
1996-11-01,Recession
1996-11-08,Recession
1996-11-15,Recession
1996-11-22,Recession
1996-11-29,Recession
1996-12-06,Recession
1996-12-13,Recession
1996-12-20,Recession
1996-12-27,Recession
1997-01-03,Recession
1997-01-10,Stagflation
1997-01-17,Stagflation
1997-01-24,Stagflation
1997-01-31,Stagflation
1997-02-07,Stagflation
1997-02-14,Stagflation
1997-02-21,Stagflation
1997-02-28,Stagflation
1997-03-07,Recession
1997-03-14,Recession
1997-03-21,Recession
1997-03-28,Recession
1997-04-04,Recession
1997-04-11,Recession
1997-04-18,Recession
1997-04-25,Recession
1997-05-02,Recession
1997-05-09,Recession
1997-05-16,Recession
1997-05-23,Recession
1997-05-30,Recession
1997-06-06,Recession
1997-06-13,Recession
1997-06-20,Recession
1997-06-27,Recession
1997-07-04,Recession
1997-07-11,Recession
1997-07-18,Recession
1997-07-25,Recession
1997-08-01,Recession
1997-08-08,Recession
1997-08-15,Recession
1997-08-22,Recession
1997-08-29,Recession
1997-09-05,Recession
1997-09-12,Overheat
1997-09-19,Overheat
1997-09-26,Overheat
1997-10-03,Overheat
1997-10-10,Overheat
1997-10-17,Overheat
1997-10-24,Overheat
1997-10-31,Overheat
1997-11-07,Overheat
1997-11-14,Overheat
1997-11-21,Overheat
1997-11-28,Overheat
1997-12-05,Overheat
1997-12-12,Overheat
1997-12-19,Overheat
1997-12-26,Overheat
1998-01-02,Overheat
1998-01-09,Recession
1998-01-16,Recession
1998-01-23,Recession
1998-01-30,Recession
1998-02-06,Recession
1998-02-13,Recession
1998-02-20,Recession
1998-02-27,Recession
1998-03-06,Recession
1998-03-13,Recession
1998-03-20,Recession
1998-03-27,Recession
1998-04-03,Recession
1998-04-10,Recession
1998-04-17,Recession
1998-04-24,Recession
1998-05-01,Recession
1998-05-08,Overheat
1998-05-15,Overheat
1998-05-22,Overheat
1998-05-29,Overheat
1998-06-05,Overheat
1998-06-12,Overheat
1998-06-19,Overheat
1998-06-26,Overheat
1998-07-03,Overheat
1998-07-10,Recession
1998-07-17,Recession
1998-07-24,Recession
1998-07-31,Recession
1998-08-07,Overheat
1998-08-14,Overheat
1998-08-21,Overheat
1998-08-28,Overheat
1998-09-04,Overheat
1998-09-11,Recession
1998-09-18,Recession
1998-09-25,Recession
1998-10-02,Recession
1998-10-09,Recession
1998-10-16,Recession
1998-10-23,Recession
1998-10-30,Recession
1998-11-06,Recession
1998-11-13,Recession
1998-11-20,Recession
1998-11-27,Recession
1998-12-04,Overheat
1998-12-11,Overheat
1998-12-18,Overheat
1998-12-25,Overheat
1999-01-01,Overheat
1999-01-08,Overheat
1999-01-15,Overheat
1999-01-22,Overheat
1999-01-29,Overheat
1999-02-05,Overheat
1999-02-12,Overheat
1999-02-19,Overheat
1999-02-26,Overheat
1999-03-05,Overheat
1999-03-12,Recession
1999-03-19,Recession
1999-03-26,Recession
1999-04-02,Overheat
1999-04-09,Overheat
1999-04-16,Overheat
1999-04-23,Overheat
1999-04-30,Overheat
1999-05-07,Overheat
1999-05-14,Overheat
1999-05-21,Overheat
1999-05-28,Overheat
1999-06-04,Overheat
1999-06-11,Overheat
1999-06-18,Overheat
1999-06-25,Overheat
1999-07-02,Overheat
1999-07-09,Overheat
1999-07-16,Overheat
1999-07-23,Overheat
1999-07-30,Overheat
1999-08-06,Overheat
1999-08-13,Overheat
1999-08-20,Overheat
1999-08-27,Overheat
1999-09-03,Overheat
1999-09-10,Overheat
1999-09-17,Overheat
1999-09-24,Overheat
1999-10-01,Overheat
1999-10-08,Overheat
1999-10-15,Overheat
1999-10-22,Overheat
1999-10-29,Overheat
1999-11-05,Overheat
1999-11-12,Overheat
1999-11-19,Overheat
1999-11-26,Overheat
1999-12-03,Overheat
1999-12-10,Overheat
1999-12-17,Overheat
1999-12-24,Overheat
1999-12-31,Recession
2000-01-07,Recession
2000-01-14,Recession
2000-01-21,Recession
2000-01-28,Recession
2000-02-04,Recession
2000-02-11,Overheat
2000-02-18,Overheat
2000-02-25,Overheat
2000-03-03,Overheat
2000-03-10,Overheat
2000-03-17,Overheat
2000-03-24,Overheat
2000-03-31,Overheat
2000-04-07,Overheat
2000-04-14,Overheat
2000-04-21,Overheat
2000-04-28,Overheat
2000-05-05,Overheat
2000-05-12,Overheat
2000-05-19,Overheat
2000-05-26,Overheat
2000-06-02,Recession
2000-06-09,Recession
2000-06-16,Recession
2000-06-23,Recession
2000-06-30,Recession
2000-07-07,Overheat
2000-07-14,Overheat
2000-07-21,Overheat
2000-07-28,Overheat
2000-08-04,Overheat
2000-08-11,Overheat
2000-08-18,Overheat
2000-08-25,Overheat
2000-09-01,Overheat
2000-09-08,Recession
2000-09-15,Recession
2000-09-22,Recession
2000-09-29,Recession
2000-10-06,Recession
2000-10-13,Recession
2000-10-20,Recession
2000-10-27,Recession
2000-11-03,Recession
2000-11-10,Overheat
2000-11-17,Overheat
2000-11-24,Overheat
2000-12-01,Overheat
2000-12-08,Overheat
2000-12-15,Overheat
2000-12-22,Overheat
2000-12-29,Overheat
2001-01-05,Overheat
2001-01-12,Overheat
2001-01-19,Overheat
2001-01-26,Overheat
2001-02-02,Overheat
2001-02-09,Overheat
2001-02-16,Overheat
2001-02-23,Overheat
2001-03-02,Overheat
2001-03-09,Overheat
2001-03-16,Overheat
2001-03-23,Overheat
2001-03-30,Overheat
2001-04-06,Recession
2001-04-13,Recession
2001-04-20,Recession
2001-04-27,Recession
2001-05-04,Recession
2001-05-11,Recession
2001-05-18,Recession
2001-05-25,Recession
2001-06-01,Recession
2001-06-08,Recession
2001-06-15,Recession
2001-06-22,Recession
2001-06-29,Recession
2001-07-06,Recession
2001-07-13,Recession
2001-07-20,Recession
2001-07-27,Recession
2001-08-03,Recession
2001-08-10,Recession
2001-08-17,Recession
2001-08-24,Recession
2001-08-31,Recession
2001-09-07,Recession
2001-09-14,Recession
2001-09-21,Recession
2001-09-28,Recession
2001-10-05,Recession
2001-10-12,Recession
2001-10-19,Recession
2001-10-26,Recession
2001-11-02,Recession
2001-11-09,Recession
2001-11-16,Recession
2001-11-23,Recession
2001-11-30,Recession
2001-12-07,Recession
2001-12-14,Recession
2001-12-21,Recession
2001-12-28,Recession
2002-01-04,Recession
2002-01-11,Recession
2002-01-18,Recession
2002-01-25,Recession
2002-02-01,Overheat
2002-02-08,Overheat
2002-02-15,Overheat
2002-02-22,Overheat
2002-03-01,Overheat
2002-03-08,Overheat
2002-03-15,Overheat
2002-03-22,Overheat
2002-03-29,Overheat
2002-04-05,Overheat
2002-04-12,Overheat
2002-04-19,Overheat
2002-04-26,Overheat
2002-05-03,Overheat
2002-05-10,Overheat
2002-05-17,Overheat
2002-05-24,Overheat
2002-05-31,Overheat
2002-06-07,Overheat
2002-06-14,Overheat
2002-06-21,Overheat
2002-06-28,Overheat
2002-07-05,Overheat
2002-07-12,Overheat
2002-07-19,Overheat
2002-07-26,Overheat
2002-08-02,Overheat
2002-08-09,Overheat
2002-08-16,Overheat
2002-08-23,Overheat
2002-08-30,Overheat
2002-09-06,Overheat
2002-09-13,Overheat
2002-09-20,Overheat
2002-09-27,Overheat
2002-10-04,Overheat
2002-10-11,Overheat
2002-10-18,Overheat
2002-10-25,Overheat
2002-11-01,Overheat
2002-11-08,Overheat
2002-11-15,Overheat
2002-11-22,Overheat
2002-11-29,Overheat
2002-12-06,Overheat
2002-12-13,Overheat
2002-12-20,Overheat
2002-12-27,Overheat
2003-01-03,Overheat
2003-01-10,Overheat
