date,transition,asset,pre_cum_ret,post_cum_ret
1996-09-06,1 -> 0,黄金,0.0142,-0.0098
1996-09-06,1 -> 0,白银,0.0185,-0.053
1996-09-06,1 -> 0,铜,0.0,0.0
1996-09-06,1 -> 0,原油,0.0,0.0
1996-09-06,1 -> 0,煤炭,0.0,0.0
1996-11-29,0 -> 1,黄金,-0.0092,-0.0545
1996-11-29,0 -> 1,白银,-0.0179,-0.0184
1996-11-29,0 -> 1,铜,0.0,0.0
1996-11-29,0 -> 1,原油,0.0,0.0
1996-11-29,0 -> 1,煤炭,0.0,0.0
1997-01-03,1 -> 0,黄金,-0.0225,-0.0425
1997-01-03,1 -> 0,白银,0.0182,0.0664
1997-01-03,1 -> 0,铜,0.0,0.0
1997-01-03,1 -> 0,原油,0.0,0.0
1997-01-03,1 -> 0,煤炭,0.0,0.0
1997-01-17,0 -> 1,黄金,-0.0567,-0.027
1997-01-17,0 -> 1,白银,-0.0412,0.088
1997-01-17,0 -> 1,铜,0.0,0.0
1997-01-17,0 -> 1,原油,0.0,0.0
1997-01-17,0 -> 1,煤炭,0.0,0.0
1997-01-31,1 -> 0,黄金,-0.0534,-0.0003
1997-01-31,1 -> 0,白银,0.0513,0.0367
1997-01-31,1 -> 0,铜,0.0,0.0
1997-01-31,1 -> 0,原油,0.0,0.0
1997-01-31,1 -> 0,煤炭,0.0,0.0
1997-02-28,0 -> 1,黄金,-0.0425,-0.0356
1997-02-28,0 -> 1,白银,0.0664,-0.0919
1997-02-28,0 -> 1,铜,0.0,0.0
1997-02-28,0 -> 1,原油,0.0,0.0
1997-02-28,0 -> 1,煤炭,0.0,0.0
1997-12-05,1 -> 0,黄金,-0.1127,0.0101
1997-12-05,1 -> 0,白银,-0.008,0.1234
1997-12-05,1 -> 0,铜,0.0,0.0
1997-12-05,1 -> 0,原油,0.0,0.0
1997-12-05,1 -> 0,煤炭,0.0,0.0
1997-12-12,0 -> 1,黄金,-0.1231,0.0503
1997-12-12,0 -> 1,白银,0.0397,0.1376
1997-12-12,0 -> 1,铜,0.0,0.0
